"Start.Date","Month","Year","Report.Type","Security.Type","Avg.Trade.Size","PCT.of.CUSIPs","PCT.of.Par.Traded","PCT.of.Trade.Count","period"
"2000-08-01","August",2000,"Customer Bought Only","Long Variable",1065695.61806311,0.00158101880403216,0.00878840423580072,0.00288658757605169,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Bought Only","Other",2412460.9556004,0.00491124990188713,0.0214533580485163,0.00311274024795128,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Bought Only","Short Note",1409985.06375839,0.00191740578361347,0.00377044065421503,0.00093602078091774,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Bought Only","Short Variable",3309657.60166359,0.0459280356121682,0.514152134590485,0.0543771535545232,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Only Buy and Sell","Bond",150353.829214484,0.924716882691737,0.326297331100004,0.910620327695327,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Only Buy and Sell","CP",8355374.23780488,0.00863418277050874,0.0576119889095321,0.00289324541866055,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Only Buy and Sell","Long Note",1984394.71454405,0.0118668862722632,0.0403705214973486,0.00853639711557545,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Only Buy and Sell","Long Variable",1003905.86533212,0.00157543145338667,0.00579834177525413,0.00242353408163715,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Only Buy and Sell","Other",2452354.84196891,0.00513549733506563,0.0198995718757732,0.00340485588903345,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Only Buy and Sell","Short Note",1507258.67282322,0.0018107231639574,0.00300220350803888,0.000835777449445388,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Only Buy and Sell","Short Variable",3219868.55472375,0.0462603963130812,0.547020041334049,0.0712858623503209,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Sold Only","Bond",225387.739250466,0.938888666746638,0.338625316648759,0.876729261811534,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Sold Only","CP",7653301.11524164,0.00303890599384222,0.0261135641992282,0.00199110295260583,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Sold Only","Long Note",2914325.96050269,0.00550468498007384,0.020590096944514,0.00412284142974515,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Sold Only","Long Variable",688434.85,0.00131952497101044,0.00157181136086427,0.00133233654821208,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Sold Only","Other",2523846.41772152,0.0037186612819385,0.0177032550418577,0.004093233950896,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Sold Only","Short Note",1865129.48148148,0.000666426753035574,0.00191628048582079,0.000599551446695435,"Pre-Crisis"
"2000-08-01","August",2000,"Customer Sold Only","Short Variable",3116336.65245771,0.0468631292734616,0.593479675318956,0.111131671860312,"Pre-Crisis"
"2000-08-01","August",2000,"Interdealer Only","Bond",252816.539504109,0.979849761445538,0.959706712962757,0.98661095731228,"Pre-Crisis"
"2000-08-01","August",2000,"Interdealer Only","CP",NA,0,0,0,"Pre-Crisis"
"2000-08-01","August",2000,"Interdealer Only","Long Note",834741.424802111,0.0100751192772307,0.0208012204830943,0.00647663966642742,"Pre-Crisis"
"2000-08-01","August",2000,"Interdealer Only","Long Variable",503801.104972376,0.00126890670997868,0.00299781850416194,0.00154653269079599,"Pre-Crisis"
"2000-08-01","August",2000,"Interdealer Only","Other",632277.108433735,0.000812100294386357,0.00172525460893884,0.000709183499094296,"Pre-Crisis"
"2000-08-01","August",2000,"Interdealer Only","Short Note",465536.231884058,0.00129428484417826,0.0010560153308625,0.000589562185994053,"Pre-Crisis"
"2000-08-01","August",2000,"Interdealer Only","Short Variable",876308.823529412,0.00669982742868744,0.0137129781101849,0.00406712464540825,"Pre-Crisis"
"2000-08-01","August",2000,"Total Customer and Interdealer","Bond",172744.229614237,0.925124893383697,0.413599215878159,0.926209365019825,"Pre-Crisis"
"2000-08-01","August",2000,"Total Customer and Interdealer","CP",8355374.23780488,0.00856991998700296,0.0496714130961001,0.00229971288645518,"Pre-Crisis"
"2000-08-01","August",2000,"Total Customer and Interdealer","Long Note",1796138.67790019,0.0119004102189188,0.0376733134810871,0.00811384981051908,"Pre-Crisis"
"2000-08-01","August",2000,"Total Customer and Interdealer","Long Variable",933187.9265625,0.00157385971325291,0.00541234976608556,0.00224362232824896,"Pre-Crisis"
"2000-08-01","August",2000,"Total Customer and Interdealer","Other",2359505.14812538,0.00510742861784655,0.0173946324205275,0.0028518543187977,"Pre-Crisis"
"2000-08-01","August",2000,"Total Customer and Interdealer","Short Note",1346814.81473214,0.00180740018683238,0.00273396325005471,0.000785267814887135,"Pre-Crisis"
"2000-08-01","August",2000,"Total Customer and Interdealer","Short Variable",3185860.43229071,0.0459160878924495,0.473515112107986,0.0574963278212674,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Bought Only","Bond",126990.734926938,0.922954407294833,0.300000329315762,0.920091190740633,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Bought Only","CP",8448327.76719057,0.00945896656534954,0.0806758438861278,0.00371923773893728,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Bought Only","Long Note",1192660.78820081,0.0115744680851064,0.0305313115421744,0.00997033378149296,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Bought Only","Long Variable",652059.476950355,0.00168996960486322,0.00344977920097624,0.00206056000467645,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Bought Only","Other",2924024.14253136,0.00559270516717325,0.0240550094399892,0.00320409773776817,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Bought Only","Short Note",1930044.2,0.0016048632218845,0.00588403977879353,0.00118737943531888,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Bought Only","Short Variable",3619320.32520325,0.0471246200607903,0.555403686836177,0.0597672005611738,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Only Buy and Sell","Bond",150148.52868578,0.923636563151542,0.292999363595666,0.903738833633804,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Only Buy and Sell","CP",8501576.34801016,0.00876769450235927,0.0548940515218162,0.00299035793141167,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Only Buy and Sell","Long Note",1343186.845716,0.0109184681224624,0.0245131256277075,0.00845200234974781,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Only Buy and Sell","Long Variable",814477.210242588,0.0016460002194667,0.00330414251254502,0.00187878542346102,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Only Buy and Sell","Other",2908539.65716273,0.00617798749039833,0.0228670322549951,0.00364109627889076,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Only Buy and Sell","Short Note",2028488.17602041,0.00150334686711292,0.00434744880219232,0.000992565884092612,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Only Buy and Sell","Short Variable",3531255.06101662,0.0473499396466586,0.597074835685078,0.0783063584985922,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Sold Only","Bond",205650.187249593,0.936059815481483,0.283217795893824,0.866816801953409,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Sold Only","CP",8834134.96932515,0.00190931483289851,0.0188723999998784,0.00134461822741371,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Sold Only","Long Note",2017711.65845649,0.00497004853449155,0.0161046723773723,0.00502375767174817,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Sold Only","Long Variable",1329104.18539326,0.00163239130751629,0.00310066270922691,0.00146835610110209,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Sold Only","Other",2884333.07308378,0.00447450117328125,0.0212072213477787,0.00462779647594536,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Sold Only","Short Note",2506014.92537313,0.000670446429872761,0.00220056374824619,0.000552695835808091,"Pre-Crisis"
"2000-09-01","September",2000,"Customer Sold Only","Short Variable",3432356.20354225,0.0502834822404571,0.655296683923674,0.120165973734574,"Pre-Crisis"
"2000-09-01","September",2000,"Interdealer Only","Bond",232593.261855585,0.978827078136783,0.960712237578749,0.985747902598731,"Pre-Crisis"
"2000-09-01","September",2000,"Interdealer Only","CP",NA,0,0,0,"Pre-Crisis"
"2000-09-01","September",2000,"Interdealer Only","Long Note",647849.170437406,0.00965833284993329,0.0184138852571667,0.00678330263965623,"Pre-Crisis"
"2000-09-01","September",2000,"Interdealer Only","Long Variable",240234.482758621,0.00142119612506526,0.0014933491005116,0.00148352772662165,"Pre-Crisis"
"2000-09-01","September",2000,"Interdealer Only","Other",249306.12244898,0.000754104066361158,0.00052370536291697,0.000501330059341109,"Pre-Crisis"
"2000-09-01","September",2000,"Interdealer Only","Short Note",462189.655172414,0.00124717210975115,0.00114922803403039,0.00059341109064866,"Pre-Crisis"
"2000-09-01","September",2000,"Interdealer Only","Short Variable",864119.246861925,0.00809211671210627,0.0177075946666251,0.00489052588500102,"Pre-Crisis"
"2000-09-01","September",2000,"Total Customer and Interdealer","Bond",167673.12286825,0.924046640127042,0.368522313522903,0.920008281304549,"Pre-Crisis"
"2000-09-01","September",2000,"Total Customer and Interdealer","CP",8501576.34801016,0.00869063934390567,0.0486851541560147,0.00239711290990428,"Pre-Crisis"
"2000-09-01","September",2000,"Total Customer and Interdealer","Long Note",1227963.43189203,0.0109965411472949,0.0238232593048511,0.00812095575997207,"Pre-Crisis"
"2000-09-01","September",2000,"Total Customer and Interdealer","Long Variable",720604.385569335,0.00164241119014988,0.00309932923798618,0.0018003718468121,"Pre-Crisis"
"2000-09-01","September",2000,"Total Customer and Interdealer","Other",2820911.92131809,0.0061345689486393,0.0203398472570298,0.00301821075108185,"Pre-Crisis"
"2000-09-01","September",2000,"Total Customer and Interdealer","Short Note",1826609.7,0.00152276534186082,0.00398570788578719,0.000913379178202307,"Pre-Crisis"
"2000-09-01","September",2000,"Total Customer and Interdealer","Short Variable",3490658.61090944,0.0469664339011073,0.531544388635428,0.0637416882494784,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Bought Only","Bond",128748.953902298,0.922168147834673,0.339515520260787,0.925478127801859,"Pre-Crisis"
"2000-10-01","October",2000,"Customer Bought Only","CP",7813626.51576394,0.0109559411294494,0.0928296619797514,0.00416950363693971,"Pre-Crisis"
